iter	RMSE	MSLE
616	3.118230222	0.2097769552
617	3.118195156	0.2097723107
618	3.118144912	0.2097665599
619	3.118119944	0.2097634105
620	3.118059595	0.2097576452
621	3.118032187	0.2097540343
622	3.118007571	0.2097516678
623	3.117974559	0.2097472053
624	3.117947754	0.2097442771
625	3.11792361	0.2097415832
626	3.117890434	0.2097362052
627	3.117862661	0.2097325298
628	3.117834539	0.2097282951
629	3.117804508	0.2097247118
630	3.117769057	0.2097196295
631	3.117736838	0.2097154012
632	3.117702718	0.2097111897
633	3.117677945	0.209707468
634	3.117633688	0.2097029996
635	3.117613492	0.2096992632
636	3.117551289	0.2096936995
637	3.117524968	0.2096891863
638	3.117480852	0.2096836027
639	3.117459583	0.2096812971
640	3.117425723	0.2096774872
641	3.11738575	0.2096721169
642	3.117366426	0.2096697301
643	3.117339108	0.2096671516
644	3.117321019	0.2096646689
645	3.117296118	0.2096611462
646	3.117263181	0.20965675
647	3.117200031	0.2096518533
648	3.117162752	0.2096469472
649	3.117127948	0.2096421186
650	3.117082788	0.209636478
651	3.117049127	0.2096324408
652	3.117010185	0.2096274449
653	3.11698481	0.2096242956
654	3.116944838	0.209618768
655	3.116908913	0.2096136167
656	3.116877913	0.2096095786
657	3.11683703	0.2096030194
658	3.116800664	0.2095979504
659	3.116773828	0.2095948862
660	3.116745458	0.209591906
661	3.116701524	0.2095863901
662	3.116669177	0.2095822335
663	3.116636899	0.209578373
664	3.116595862	0.209573318
665	3.116565805	0.2095693064
666	3.116538529	0.2095657483
667	3.116506846	0.2095615865
668	3.116474893	0.2095578891
669	3.116431496	0.2095522471
670	3.116411763	0.2095496745
671	3.116385947	0.2095466967
672	3.116361124	0.209543249
673	3.116337035	0.2095399832
674	3.116305903	0.2095368414
675	3.116276846	0.2095331274
676	3.116231334	0.2095271536
677	3.116190384	0.2095228164
678	3.116153917	0.2095185724
679	3.116126248	0.2095144421
680	3.116088138	0.209509281
681	3.116056737	0.2095063902
682	3.116028752	0.2095024774
683	3.115986575	0.2094973194
684	3.115952854	0.2094924791
685	3.115924233	0.2094887592
686	3.115899028	0.2094855877
687	3.115871614	0.2094818642
688	3.11585331	0.2094794744
689	3.115815284	0.2094744934
690	3.115788032	0.2094714384
691	3.115757086	0.209467113
692	3.11570987	0.2094606554
693	3.115663114	0.2094541672
694	3.115616275	0.209448429
695	3.1155827	0.2094441321
696	3.115560834	0.2094412363
697	3.115528544	0.2094370649
698	3.115485028	0.2094312628
699	3.115428572	0.2094252011
700	3.115409166	0.2094225786
701	3.115383903	0.2094192445
702	3.115366017	0.2094171304
703	3.115326464	0.2094124757
704	3.115290583	0.2094085837
705	3.115255289	0.2094036357
706	3.11523405	0.2094005875
707	3.115203648	0.2093966574
